Philippines,PHL,106651922,
Ethiopia,ETH,109224559,
Mexico,MEX,126190788,
Japan,JPN,126529100,
Russia,RUS,144478050,
Bangladesh,BGD,161356039,
Nigeria,NGA,195874740,
Brazil,BRA,209469333,
Pakistan,PAK,212215030,
Indonesia,IDN,267663435,
US,USA,327167434,
Euro area,EMU,341783171,
North America,NAC,364290258,
Middle East & North Africa (IDA & IBRD countries),TMN,378327628,
Middle East & North Africa (excluding high income),MNA,382896715,
Europe & Central Asia (excluding high income),ECA,417797257,
Arab World,ARB,419790588,
Middle East & North Africa,MEA,448912859,
Europe & Central Asia (IDA & IBRD countries),TEC,459865205,
European Union,EUU,513213363,
Fragile and conflict affected situations,FCS,515215936,
IDA blend,IDB,555830605,
Latin America & Caribbean (excluding high income),LAC,609013934,
Latin America & the Caribbean (IDA & IBRD countries),TLA,625569713,
Latin America & Caribbean,LCN,641357515,
Low income,LIC,705417321,
Heavily indebted poor countries (HIPC),HPC,780234406,
Europe & Central Asia,ECS,918793590,
Pre-demographic dividend,PRE,919485393,
Least developed countries: UN classification,LDC,1009662578,
Sub-Saharan Africa (excluding high income),SSA,1078209758,
Sub-Saharan Africa,SSF,1078306520,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1078306520,
IDA only,IDX,1084407516,
Post-demographic dividend,PST,1109997273,
High income,HIC,1210312147,
OECD members,OED,1303529456,
India,IND,1352617328,
China,CHN,1392730000,
IDA total,IDA,1640238121,
South Asia,SAS,1814388744,
South Asia (IDA & IBRD),TSA,1814388744,
East Asia & Pacific (IDA & IBRD countries),TEA,2056064424,
East Asia & Pacific (excluding high income),EAP,2081651801,
Late-demographic dividend,LTE,2288665963,
East Asia & Pacific,EAS,2328220870,
Upper middle income,UMC,2655635719,
Lower middle income,LMC,3022905169,
Early-demographic dividend,EAR,3249140605,
IBRD only,IBD,4772284113,
Middle income,MIC,5678540888,
Low & middle income,LMY,6383958209,
IDA & IBRD total,IBT,6412522234,
World,WLD,7594270356,
Eritrea,ERI,,
Not classified,INX,,
Europe,EURo,746419440,
